i,Variable,Definition
910,HI_INC_WDRAW_4YR_TRANS_YR3_RT,"Percent of high-income (above $75,000 in nominal family income) students who transferred to a 4-year institution and withdrew within 3 years"
911,HI_INC_WDRAW_2YR_TRANS_YR3_RT,"Percent of high-income (above $75,000 in nominal family income) students who transferred to a 2-year institution and withdrew within 3 years"
912,HI_INC_ENRL_ORIG_YR3_RT,"Percent of high-income (above $75,000 in nominal family income) students who were still enrolled at original institution within 3 years"
913,HI_INC_ENRL_4YR_TRANS_YR3_RT,"Percent of high-income (above $75,000 in nominal family income) students who transferred to a 4-year institution and were still enrolled within 3 years"
914,HI_INC_ENRL_2YR_TRANS_YR3_RT,"Percent of high-income (above $75,000 in nominal family income) students who transferred to a 2-year institution and were still enrolled within 3 years"
915,HI_INC_UNKN_ORIG_YR3_RT,"Percent of high-income (above $75,000 in nominal family income) students with status unknown within 3 years at original institution"
916,HI_INC_UNKN_4YR_TRANS_YR3_RT,"Percent of high-income (above $75,000 in nominal family income) students who transferred to a 4-year institution and whose status is unknown within 3 years"
917,HI_INC_UNKN_2YR_TRANS_YR3_RT,"Percent of high-income (above $75,000 in nominal family income) students who transferred to a 2-year institution and whose status is unknown within 3 years"
918,DEP_DEATH_YR3_RT,Percent of dependent students who died within 3 years at original institution
919,DEP_COMP_ORIG_YR3_RT,Percent of dependent students who completed within 3 years at original institution
920,DEP_COMP_4YR_TRANS_YR3_RT,Percent of dependent students who transferred to a 4-year institution and completed within 3 years
921,DEP_COMP_2YR_TRANS_YR3_RT,Percent of dependent students who transferred to a 2-year institution and completed within 3 years
922,DEP_WDRAW_ORIG_YR3_RT,Percent of dependent students withdrawn from original institution within 3 years
923,DEP_WDRAW_4YR_TRANS_YR3_RT,Percent of dependent students who transferred to a 4-year institution and withdrew within 3 years
924,DEP_WDRAW_2YR_TRANS_YR3_RT,Percent of dependent students who transferred to a 2-year institution and withdrew within 3 years
925,DEP_ENRL_ORIG_YR3_RT,Percent of dependent students who were still enrolled at original institution within 3 years
926,DEP_ENRL_4YR_TRANS_YR3_RT,Percent of dependent students who transferred to a 4-year institution and were still enrolled within 3 years
927,DEP_ENRL_2YR_TRANS_YR3_RT,Percent of dependent students who transferred to a 2-year institution and were still enrolled within 3 years
928,DEP_UNKN_ORIG_YR3_RT,Percent of dependent students with status unknown within 3 years at original institution
929,DEP_UNKN_4YR_TRANS_YR3_RT,Percent of dependent students who transferred to a 4-year institution and whose status is unknown within 3 years
930,DEP_UNKN_2YR_TRANS_YR3_RT,Percent of dependent students who transferred to a 2-year institution and whose status is unknown within 3 years
931,IND_DEATH_YR3_RT,Percent of independent students who died within 3 years at original institution
932,IND_COMP_ORIG_YR3_RT,Percent of independent students who completed within 3 years at original institution
933,IND_COMP_4YR_TRANS_YR3_RT,Percent of independent students who transferred to a 4-year institution and completed within 3 years
934,IND_COMP_2YR_TRANS_YR3_RT,Percent of independent students who transferred to a 2-year institution and completed within 3 years
935,IND_WDRAW_ORIG_YR3_RT,Percent of independent students withdrawn from original institution within 3 years
936,IND_WDRAW_4YR_TRANS_YR3_RT,Percent of independent students who transferred to a 4-year institution and withdrew within 3 years
937,IND_WDRAW_2YR_TRANS_YR3_RT,Percent of independent students who transferred to a 2-year institution and withdrew within 3 years
938,IND_ENRL_ORIG_YR3_RT,Percent of independent students who were still enrolled at original institution within 3 years
939,IND_ENRL_4YR_TRANS_YR3_RT,Percent of independent students who transferred to a 4-year institution and were still enrolled within 3 years
940,IND_ENRL_2YR_TRANS_YR3_RT,Percent of independent students who transferred to a 2-year institution and were still enrolled within 3 years
941,IND_UNKN_ORIG_YR3_RT,Percent of independent students with status unknown within 3 years at original institution
942,IND_UNKN_4YR_TRANS_YR3_RT,Percent of independent students who transferred to a 4-year institution and whose status is unknown within 3 years
943,IND_UNKN_2YR_TRANS_YR3_RT,Percent of independent students who transferred to a 2-year institution and whose status is unknown within 3 years
944,FEMALE_DEATH_YR3_RT,Percent of female students who died within 3 years at original institution
945,FEMALE_COMP_ORIG_YR3_RT,Percent of female students who completed within 3 years at original institution
946,FEMALE_COMP_4YR_TRANS_YR3_RT,Percent of female students who transferred to a 4-year institution and completed within 3 years
947,FEMALE_COMP_2YR_TRANS_YR3_RT,Percent of female students who transferred to a 2-year institution and completed within 3 years
948,FEMALE_WDRAW_ORIG_YR3_RT,Percent of female students withdrawn from original institution within 3 years
949,FEMALE_WDRAW_4YR_TRANS_YR3_RT,Percent of female students who transferred to a 4-year institution and withdrew within 3 years
950,FEMALE_WDRAW_2YR_TRANS_YR3_RT,Percent of female students who transferred to a 2-year institution and withdrew within 3 years
951,FEMALE_ENRL_ORIG_YR3_RT,Percent of female students who were still enrolled at original institution within 3 years
952,FEMALE_ENRL_4YR_TRANS_YR3_RT,Percent of female students who transferred to a 4-year institution and were still enrolled within 3 years
953,FEMALE_ENRL_2YR_TRANS_YR3_RT,Percent of female students who transferred to a 2-year institution and were still enrolled within 3 years
954,FEMALE_UNKN_ORIG_YR3_RT,Percent of female students with status unknown within 3 years at original institution
955,FEMALE_UNKN_4YR_TRANS_YR3_RT,Percent of female students who transferred to a 4-year institution and whose status is unknown within 3 years
956,FEMALE_UNKN_2YR_TRANS_YR3_RT,Percent of female students who transferred to a 2-year institution and whose status is unknown within 3 years
957,MALE_DEATH_YR3_RT,Percent of male students who died within 3 years at original institution
958,MALE_COMP_ORIG_YR3_RT,Percent of male students who completed within 3 years at original institution
959,MALE_COMP_4YR_TRANS_YR3_RT,Percent of male students who transferred to a 4-year institution and completed within 3 years
960,MALE_COMP_2YR_TRANS_YR3_RT,Percent of male students who transferred to a 2-year institution and completed within 3 years
961,MALE_WDRAW_ORIG_YR3_RT,Percent of male students withdrawn from original institution within 3 years
962,MALE_WDRAW_4YR_TRANS_YR3_RT,Percent of male students who transferred to a 4-year institution and withdrew within 3 years
963,MALE_WDRAW_2YR_TRANS_YR3_RT,Percent of male students who transferred to a 2-year institution and withdrew within 3 years
964,MALE_ENRL_ORIG_YR3_RT,Percent of male students who were still enrolled at original institution within 3 years
965,MALE_ENRL_4YR_TRANS_YR3_RT,Percent of male students who transferred to a 4-year institution and were still enrolled within 3 years
966,MALE_ENRL_2YR_TRANS_YR3_RT,Percent of male students who transferred to a 2-year institution and were still enrolled within 3 years
967,MALE_UNKN_ORIG_YR3_RT,Percent of male students with status unknown within 3 years at original institution
968,MALE_UNKN_4YR_TRANS_YR3_RT,Percent of male students who transferred to a 4-year institution and whose status is unknown within 3 years
969,MALE_UNKN_2YR_TRANS_YR3_RT,Percent of male students who transferred to a 2-year institution and whose status is unknown within 3 years
970,PELL_DEATH_YR3_RT,Percent of students who received a Pell Grant at the institution and who died within 3 years at original institution
971,PELL_COMP_ORIG_YR3_RT,Percent of students who received a Pell Grant at the institution and who completed in 3 years at original institution
972,PELL_COMP_4YR_TRANS_YR3_RT,Percent of students who received a Pell Grant at the institution and who transferred to a 4-year institution and completed within 3 years
973,PELL_COMP_2YR_TRANS_YR3_RT,Percent of students who received a Pell Grant at the institution and who transferred to a 2-year institution and completed within 3 years
974,PELL_WDRAW_ORIG_YR3_RT,Percent of students who received a Pell Grant at the institution and withdrew from original institution within 3 years
975,PELL_WDRAW_4YR_TRANS_YR3_RT,Percent of students who received a Pell Grant at the institution and who transferred to a 4-year institution and withdrew within 3 years
976,PELL_WDRAW_2YR_TRANS_YR3_RT,Percent of students who received a Pell Grant at the institution and who transferred to a 2-year institution and withdrew within 3 years
977,PELL_ENRL_ORIG_YR3_RT,Percent of students who received a Pell Grant at the institution and who were still enrolled at original institution within 3 years
978,PELL_ENRL_4YR_TRANS_YR3_RT,Percent of students who received a Pell Grant at the institution and who transferred to a 4-year institution and were still enrolled within 3 years
979,PELL_ENRL_2YR_TRANS_YR3_RT,Percent of students who received a Pell Grant at the institution and who transferred to a 2-year institution and were still enrolled within 3 years
980,PELL_UNKN_ORIG_YR3_RT,Percent of students who received a Pell Grant at the institution and with status unknown within 3 years at original institution
981,PELL_UNKN_4YR_TRANS_YR3_RT,Percent of students who received a Pell Grant at the institution and who transferred to a 4-year institution and whose status is unknown within 3 years
982,PELL_UNKN_2YR_TRANS_YR3_RT,Percent of students who received a Pell Grant at the institution and who transferred to a 2-year institution and whose status is unknown within 3 years
983,NOPELL_DEATH_YR3_RT,Percent of students who never received a Pell Grant at the institution and who died within 3 years at original institution
984,NOPELL_COMP_ORIG_YR3_RT,Percent of students who never received a Pell Grant at the institution and who completed in 3 years at original institution
985,NOPELL_COMP_4YR_TRANS_YR3_RT,Percent of students who never received a Pell Grant at the institution and who transferred to a 4-year institution and completed within 3 years
986,NOPELL_COMP_2YR_TRANS_YR3_RT,Percent of students who never received a Pell Grant at the institution and who transferred to a 2-year institution and completed within 3 years
987,NOPELL_WDRAW_ORIG_YR3_RT,Percent of students who never received a Pell Grant at the institution and withdrew from original institution within 3 years
988,NOPELL_WDRAW_4YR_TRANS_YR3_RT,Percent of students who never received a Pell Grant at the institution and who transferred to a 4-year institution and withdrew within 3 years
989,NOPELL_WDRAW_2YR_TRANS_YR3_RT,Percent of students who never received a Pell Grant at the institution and who transferred to a 2-year institution and withdrew within 3 years
990,NOPELL_ENRL_ORIG_YR3_RT,Percent of students who never received a Pell Grant at the institution and who were still enrolled at original institution within 3 years
991,NOPELL_ENRL_4YR_TRANS_YR3_RT,Percent of students who never received a Pell Grant at the institution and who transferred to a 4-year institution and were still enrolled within 3 years
992,NOPELL_ENRL_2YR_TRANS_YR3_RT,Percent of students who never received a Pell Grant at the institution and who transferred to a 2-year institution and were still enrolled within 3 years
993,NOPELL_UNKN_ORIG_YR3_RT,Percent of students who never received a Pell Grant at the institution and with status unknown within 3 years at original institution
994,NOPELL_UNKN_4YR_TRANS_YR3_RT,Percent of students who never received a Pell Grant at the institution and who transferred to a 4-year institution and whose status is unknown within 3 years
995,NOPELL_UNKN_2YR_TRANS_YR3_RT,Percent of students who never received a Pell Grant at the institution and who transferred to a 2-year institution and whose status is unknown within 3 years
996,LOAN_DEATH_YR3_RT,Percent of students who received a federal loan at the institution and who died within 3 years at original institution
997,LOAN_COMP_ORIG_YR3_RT,Percent of students who received a federal loan at the institution and who completed in 3 years at original institution
998,LOAN_COMP_4YR_TRANS_YR3_RT,Percent of students who received a federal loan at the institution and who transferred to a 4-year institution and completed within 3 years
999,LOAN_COMP_2YR_TRANS_YR3_RT,Percent of students who received a federal loan at the institution and who transferred to a 2-year institution and completed within 3 years
1000,LOAN_WDRAW_ORIG_YR3_RT,Percent of students who received a federal loan at the institution and withdrew from original institution within 3 years
1001,LOAN_WDRAW_4YR_TRANS_YR3_RT,Percent of students who received a federal loan at the institution and who transferred to a 4-year institution and withdrew within 3 years
1002,LOAN_WDRAW_2YR_TRANS_YR3_RT,Percent of students who received a federal loan at the institution and who transferred to a 2-year institution and withdrew within 3 years
1003,LOAN_ENRL_ORIG_YR3_RT,Percent of students who received a federal loan at the institution and who were still enrolled at original institution within 3 years
1004,LOAN_ENRL_4YR_TRANS_YR3_RT,Percent of students who received a federal loan at the institution and who transferred to a 4-year institution and were still enrolled within 3 years
1005,LOAN_ENRL_2YR_TRANS_YR3_RT,Percent of students who received a federal loan at the institution and who transferred to a 2-year institution and were still enrolled within 3 years
1006,LOAN_UNKN_ORIG_YR3_RT,Percent of students who received a federal loan at the institution and with status unknown within 3 years at original institution
1007,LOAN_UNKN_4YR_TRANS_YR3_RT,Percent of students who received a federal loan at the institution and who transferred to a 4-year institution and whose status is unknown within 3 years
1008,LOAN_UNKN_2YR_TRANS_YR3_RT,Percent of students who received a federal loan at the institution and who transferred to a 2-year institution and whose status is unknown within 3 years
1009,NOLOAN_DEATH_YR3_RT,Percent of students who never received a federal loan at the institution and who died within 3 years at original institution
1010,NOLOAN_COMP_ORIG_YR3_RT,Percent of students who never received a federal loan at the institution and who completed in 3 years at original institution
1011,NOLOAN_COMP_4YR_TRANS_YR3_RT,Percent of students who never received a federal loan at the institution and who transferred to a 4-year institution and completed within 3 years
1012,NOLOAN_COMP_2YR_TRANS_YR3_RT,Percent of students who never received a federal loan at the institution and who transferred to a 2-year institution and completed within 3 years
1013,NOLOAN_WDRAW_ORIG_YR3_RT,Percent of students who never received a federal loan at the institution and withdrew from original institution within 3 years
1014,NOLOAN_WDRAW_4YR_TRANS_YR3_RT,Percent of students who never received a federal loan at the institution and who transferred to a 4-year institution and withdrew within 3 years
1015,NOLOAN_WDRAW_2YR_TRANS_YR3_RT,Percent of students who never received a federal loan at the institution and who transferred to a 2-year institution and withdrew within 3 years
1016,NOLOAN_ENRL_ORIG_YR3_RT,Percent of students who never received a federal loan at the institution and who were still enrolled at original institution within 3 years
1017,NOLOAN_ENRL_4YR_TRANS_YR3_RT,Percent of students who never received a federal loan at the institution and who transferred to a 4-year institution and were still enrolled within 3 years
1018,NOLOAN_ENRL_2YR_TRANS_YR3_RT,Percent of students who never received a federal loan at the institution and who transferred to a 2-year institution and were still enrolled within 3 years
1019,NOLOAN_UNKN_ORIG_YR3_RT,Percent of students who never received a federal loan at the institution and with status unknown within 3 years at original institution
1020,NOLOAN_UNKN_4YR_TRANS_YR3_RT,Percent of students who never received a federal loan at the institution and who transferred to a 4-year institution and whose status is unknown within 3 years
1021,NOLOAN_UNKN_2YR_TRANS_YR3_RT,Percent of students who never received a federal loan at the institution and who transferred to a 2-year institution and whose status is unknown within 3 years
1022,FIRSTGEN_DEATH_YR3_RT,Percent of first-generation students who died within 3 years at original institution
1023,FIRSTGEN_COMP_ORIG_YR3_RT,Percent of first-generation students who completed within 3 years at original institution
1024,FIRSTGEN_COMP_4YR_TRANS_YR3_RT,Percent of first-generation students who transferred to a 4-year institution and completed within 3 years
1025,FIRSTGEN_COMP_2YR_TRANS_YR3_RT,Percent of first-generation students who transferred to a 2-year institution and completed within 3 years
1026,FIRSTGEN_WDRAW_ORIG_YR3_RT,Percent of first-generation students withdrawn from original institution within 3 years
1027,FIRSTGEN_WDRAW_4YR_TRANS_YR3_RT,Percent of first-generation students who transferred to a 4-year institution and withdrew within 3 years
1028,FIRSTGEN_WDRAW_2YR_TRANS_YR3_RT,Percent of first-generation students who transferred to a 2-year institution and withdrew within 3 years
1029,FIRSTGEN_ENRL_ORIG_YR3_RT,Percent of first-generation students who were still enrolled at original institution within 3 years
1030,FIRSTGEN_ENRL_4YR_TRANS_YR3_RT,Percent of first-generation students who transferred to a 4-year institution and were still enrolled within 3 years
1031,FIRSTGEN_ENRL_2YR_TRANS_YR3_RT,Percent of first-generation students who transferred to a 2-year institution and were still enrolled within 3 years
1032,FIRSTGEN_UNKN_ORIG_YR3_RT,Percent of first-generation students with status unknown within 3 years at original institution
1033,FIRSTGEN_UNKN_4YR_TRANS_YR3_RT,Percent of first-generation students who transferred to a 4-year institution and whose status is unknown within 3 years
1034,FIRSTGEN_UNKN_2YR_TRANS_YR3_RT,Percent of first-generation students who transferred to a 2-year institution and whose status is unknown within 3 years
1035,NOT1STGEN_DEATH_YR3_RT,Percent of not-first-generation students who died within 3 years at original institution
1036,NOT1STGEN_COMP_ORIG_YR3_RT,Percent of not-first-generation students who completed within 3 years at original institution
1037,NOT1STGEN_COMP_4YR_TRANS_YR3_RT,Percent of not-first-generation students who transferred to a 4-year institution and completed within 3 years
1038,NOT1STGEN_COMP_2YR_TRANS_YR3_RT,Percent of not-first-generation students who transferred to a 2-year institution and completed within 3 years
1039,NOT1STGEN_WDRAW_ORIG_YR3_RT,Percent of not-first-generation students withdrawn from original institution within 3 years
1040,NOT1STGEN_WDRAW_4YR_TRANS_YR3_RT,Percent of not-first-generation students who transferred to a 4-year institution and withdrew within 3 years
1041,NOT1STGEN_WDRAW_2YR_TRANS_YR3_RT,Percent of not-first-generation students who transferred to a 2-year institution and withdrew within 3 years
1042,NOT1STGEN_ENRL_ORIG_YR3_RT,Percent of not-first-generation students who were still enrolled at original institution within 3 years
1043,NOT1STGEN_ENRL_4YR_TRANS_YR3_RT,Percent of not-first-generation students who transferred to a 4-year institution and were still enrolled within 3 years
1044,NOT1STGEN_ENRL_2YR_TRANS_YR3_RT,Percent of not-first-generation students who transferred to a 2-year institution and were still enrolled within 3 years
1045,NOT1STGEN_UNKN_ORIG_YR3_RT,Percent of not-first-generation students with status unknown within 3 years at original institution
1046,NOT1STGEN_UNKN_4YR_TRANS_YR3_RT,Percent of not-first-generation students who transferred to a 4-year institution and whose status is unknown within 3 years
1047,NOT1STGEN_UNKN_2YR_TRANS_YR3_RT,Percent of not-first-generation students who transferred to a 2-year institution and whose status is unknown within 3 years
1048,DEATH_YR4_RT,Percent died within 4 years at original institution
1049,COMP_ORIG_YR4_RT,Percent completed within 4 years at original institution
1050,COMP_4YR_TRANS_YR4_RT,Percent who transferred to a 4-year institution and completed within 4 years
1051,COMP_2YR_TRANS_YR4_RT,Percent who transferred to a 2-year institution and completed within 4 years
1052,WDRAW_ORIG_YR4_RT,Percent withdrawn from original institution within 4 years
1053,WDRAW_4YR_TRANS_YR4_RT,Percent who transferred to a 4-year institution and withdrew within 4 years
1054,WDRAW_2YR_TRANS_YR4_RT,Percent who transferred to a 2-year institution and withdrew within 4 years
1055,ENRL_ORIG_YR4_RT,Percent still enrolled at original institution within 4 years
1056,ENRL_4YR_TRANS_YR4_RT,Percent who transferred to a 4-year institution and were still enrolled within 4 years
1057,ENRL_2YR_TRANS_YR4_RT,Percent who transferred to a 2-year institution and were still enrolled within 4 years
1058,UNKN_ORIG_YR4_RT,Percent with status unknown within 4 years at original institution
1059,UNKN_4YR_TRANS_YR4_RT,Percent who transferred to a 4-year institution and whose status is unknown within 4 years
1060,UNKN_2YR_TRANS_YR4_RT,Percent who transferred to a 2-year institution and whose status is unknown within 4 years
1061,LO_INC_DEATH_YR4_RT,"Percent of low-income (less than $30,000 in nominal family income) students who died within 4 years at original institution"
1062,LO_INC_COMP_ORIG_YR4_RT,"Percent of low-income (less than $30,000 in nominal family income) students who completed within 4 years at original institution"
1063,LO_INC_COMP_4YR_TRANS_YR4_RT,"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 4-year institution and completed within 4 years"
1064,LO_INC_COMP_2YR_TRANS_YR4_RT,"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 2-year institution and completed within 4 years"
1065,LO_INC_WDRAW_ORIG_YR4_RT,"Percent of low-income (less than $30,000 in nominal family income) students withdrawn from original institution within 4 years"
1066,LO_INC_WDRAW_4YR_TRANS_YR4_RT,"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 4-year institution and withdrew within 4 years"
1067,LO_INC_WDRAW_2YR_TRANS_YR4_RT,"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 2-year institution and withdrew within 4 years"
1068,LO_INC_ENRL_ORIG_YR4_RT,"Percent of low-income (less than $30,000 in nominal family income) students who were still enrolled at original institution within 4 years"
1069,LO_INC_ENRL_4YR_TRANS_YR4_RT,"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 4-year institution and were still enrolled within 4 years"
1070,LO_INC_ENRL_2YR_TRANS_YR4_RT,"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 2-year institution and were still enrolled within 4 years"
1071,LO_INC_UNKN_ORIG_YR4_RT,"Percent of low-income (less than $30,000 in nominal family income) students with status unknown within 4 years at original institution"
1072,LO_INC_UNKN_4YR_TRANS_YR4_RT,"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 4-year institution and whose status is unknown within 4 years"
1073,LO_INC_UNKN_2YR_TRANS_YR4_RT,"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 2-year institution and whose status is unknown within 4 years"
1074,MD_INC_DEATH_YR4_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who died within 4 years at original institution"
1075,MD_INC_COMP_ORIG_YR4_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who completed within 4 years at original institution"
1076,MD_INC_COMP_4YR_TRANS_YR4_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 4-year institution and completed within 4 years"
1077,MD_INC_COMP_2YR_TRANS_YR4_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 2-year institution and completed within 4 years"
1078,MD_INC_WDRAW_ORIG_YR4_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students withdrawn from original institution within 4 years"
1079,MD_INC_WDRAW_4YR_TRANS_YR4_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 4-year institution and withdrew within 4 years"
1080,MD_INC_WDRAW_2YR_TRANS_YR4_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 2-year institution and withdrew within 4 years"
1081,MD_INC_ENRL_ORIG_YR4_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who were still enrolled at original institution within 4 years"
1082,MD_INC_ENRL_4YR_TRANS_YR4_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 4-year institution and were still enrolled within 4 years"
1083,MD_INC_ENRL_2YR_TRANS_YR4_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 2-year institution and were still enrolled within 4 years"
1084,MD_INC_UNKN_ORIG_YR4_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students with status unknown within 4 years at original institution"
1085,MD_INC_UNKN_4YR_TRANS_YR4_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 4-year institution and whose status is unknown within 4 years"
1086,MD_INC_UNKN_2YR_TRANS_YR4_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 2-year institution and whose status is unknown within 4 years"
1087,HI_INC_DEATH_YR4_RT,"Percent of high-income (above $75,000 in nominal family income) students who died within 4 years at original institution"
1088,HI_INC_COMP_ORIG_YR4_RT,"Percent of high-income (above $75,000 in nominal family income) students who completed within 4 years at original institution"
1089,HI_INC_COMP_4YR_TRANS_YR4_RT,"Percent of high-income (above $75,000 in nominal family income) students who transferred to a 4-year institution and completed within 4 years"
1090,HI_INC_COMP_2YR_TRANS_YR4_RT,"Percent of high-income (above $75,000 in nominal family income) students who transferred to a 2-year institution and completed within 4 years"
1091,HI_INC_WDRAW_ORIG_YR4_RT,"Percent of high-income (above $75,000 in nominal family income) students withdrawn from original institution within 4 years"
1092,HI_INC_WDRAW_4YR_TRANS_YR4_RT,"Percent of high-income (above $75,000 in nominal family income) students who transferred to a 4-year institution and withdrew within 4 years"
1093,HI_INC_WDRAW_2YR_TRANS_YR4_RT,"Percent of high-income (above $75,000 in nominal family income) students who transferred to a 2-year institution and withdrew within 4 years"
1094,HI_INC_ENRL_ORIG_YR4_RT,"Percent of high-income (above $75,000 in nominal family income) students who were still enrolled at original institution within 4 years"
1095,HI_INC_ENRL_4YR_TRANS_YR4_RT,"Percent of high-income (above $75,000 in nominal family income) students who transferred to a 4-year institution and were still enrolled within 4 years"
1096,HI_INC_ENRL_2YR_TRANS_YR4_RT,"Percent of high-income (above $75,000 in nominal family income) students who transferred to a 2-year institution and were still enrolled within 4 years"
1097,HI_INC_UNKN_ORIG_YR4_RT,"Percent of high-income (above $75,000 in nominal family income) students with status unknown within 4 years at original institution"
1098,HI_INC_UNKN_4YR_TRANS_YR4_RT,"Percent of high-income (above $75,000 in nominal family income) students who transferred to a 4-year institution and whose status is unknown within 4 years"
1099,HI_INC_UNKN_2YR_TRANS_YR4_RT,"Percent of high-income (above $75,000 in nominal family income) students who transferred to a 2-year institution and whose status is unknown within 4 years"
1100,DEP_DEATH_YR4_RT,Percent of dependent students who died within 4 years at original institution
1101,DEP_COMP_ORIG_YR4_RT,Percent of dependent students who completed within 4 years at original institution
1102,DEP_COMP_4YR_TRANS_YR4_RT,Percent of dependent students who transferred to a 4-year institution and completed within 4 years
1103,DEP_COMP_2YR_TRANS_YR4_RT,Percent of dependent students who transferred to a 2-year institution and completed within 4 years
1104,DEP_WDRAW_ORIG_YR4_RT,Percent of dependent students withdrawn from original institution within 4 years
1105,DEP_WDRAW_4YR_TRANS_YR4_RT,Percent of dependent students who transferred to a 4-year institution and withdrew within 4 years
1106,DEP_WDRAW_2YR_TRANS_YR4_RT,Percent of dependent students who transferred to a 2-year institution and withdrew within 4 years
1107,DEP_ENRL_ORIG_YR4_RT,Percent of dependent students who were still enrolled at original institution within 4 years
1108,DEP_ENRL_4YR_TRANS_YR4_RT,Percent of dependent students who transferred to a 4-year institution and were still enrolled within 4 years
1109,DEP_ENRL_2YR_TRANS_YR4_RT,Percent of dependent students who transferred to a 2-year institution and were still enrolled within 4 years
1110,DEP_UNKN_ORIG_YR4_RT,Percent of dependent students with status unknown within 4 years at original institution
1111,DEP_UNKN_4YR_TRANS_YR4_RT,Percent of dependent students who transferred to a 4-year institution and whose status is unknown within 4 years
1112,DEP_UNKN_2YR_TRANS_YR4_RT,Percent of dependent students who transferred to a 2-year institution and whose status is unknown within 4 years
1113,IND_DEATH_YR4_RT,Percent of independent students who died within 4 years at original institution
1114,IND_COMP_ORIG_YR4_RT,Percent of independent students who completed within 4 years at original institution
1115,IND_COMP_4YR_TRANS_YR4_RT,Percent of independent students who transferred to a 4-year institution and completed within 4 years
1116,IND_COMP_2YR_TRANS_YR4_RT,Percent of independent students who transferred to a 2-year institution and completed within 4 years
1117,IND_WDRAW_ORIG_YR4_RT,Percent of independent students withdrawn from original institution within 4 years
1118,IND_WDRAW_4YR_TRANS_YR4_RT,Percent of independent students who transferred to a 4-year institution and withdrew within 4 years
1119,IND_WDRAW_2YR_TRANS_YR4_RT,Percent of independent students who transferred to a 2-year institution and withdrew within 4 years
1120,IND_ENRL_ORIG_YR4_RT,Percent of independent students who were still enrolled at original institution within 4 years
1121,IND_ENRL_4YR_TRANS_YR4_RT,Percent of independent students who transferred to a 4-year institution and were still enrolled within 4 years
1122,IND_ENRL_2YR_TRANS_YR4_RT,Percent of independent students who transferred to a 2-year institution and were still enrolled within 4 years
1123,IND_UNKN_ORIG_YR4_RT,Percent of independent students with status unknown within 4 years at original institution
1124,IND_UNKN_4YR_TRANS_YR4_RT,Percent of independent students who transferred to a 4-year institution and whose status is unknown within 4 years
1125,IND_UNKN_2YR_TRANS_YR4_RT,Percent of independent students who transferred to a 2-year institution and whose status is unknown within 4 years
1126,FEMALE_DEATH_YR4_RT,Percent of female students who died within 4 years at original institution
1127,FEMALE_COMP_ORIG_YR4_RT,Percent of female students who completed within 4 years at original institution
1128,FEMALE_COMP_4YR_TRANS_YR4_RT,Percent of female students who transferred to a 4-year institution and completed within 4 years
1129,FEMALE_COMP_2YR_TRANS_YR4_RT,Percent of female students who transferred to a 2-year institution and completed within 4 years
1130,FEMALE_WDRAW_ORIG_YR4_RT,Percent of female students withdrawn from original institution within 4 years
1131,FEMALE_WDRAW_4YR_TRANS_YR4_RT,Percent of female students who transferred to a 4-year institution and withdrew within 4 years
1132,FEMALE_WDRAW_2YR_TRANS_YR4_RT,Percent of female students who transferred to a 2-year institution and withdrew within 4 years
1133,FEMALE_ENRL_ORIG_YR4_RT,Percent of female students who were still enrolled at original institution within 4 years
1134,FEMALE_ENRL_4YR_TRANS_YR4_RT,Percent of female students who transferred to a 4-year institution and were still enrolled within 4 years
1135,FEMALE_ENRL_2YR_TRANS_YR4_RT,Percent of female students who transferred to a 2-year institution and were still enrolled within 4 years
1136,FEMALE_UNKN_ORIG_YR4_RT,Percent of female students with status unknown within 4 years at original institution
1137,FEMALE_UNKN_4YR_TRANS_YR4_RT,Percent of female students who transferred to a 4-year institution and whose status is unknown within 4 years
1138,FEMALE_UNKN_2YR_TRANS_YR4_RT,Percent of female students who transferred to a 2-year institution and whose status is unknown within 4 years
1139,MALE_DEATH_YR4_RT,Percent of male students who died within 4 years at original institution
1140,MALE_COMP_ORIG_YR4_RT,Percent of male students who completed within 4 years at original institution
